A = 111, B = 111, R = 1110, SF = 1, ZF = 0, DZF = 0
A = 111, B = 110, R = 1101, SF = 1, ZF = 0, DZF = 0
A = 111, B = 101, R = 1100, SF = 1, ZF = 0, DZF = 0
A = 111, B = 000, R = 1011, SF = 1, ZF = 0, DZF = 0
A = 111, B = 001, R = 1010, SF = 1, ZF = 0, DZF = 0
A = 111, B = 010, R = 1001, SF = 1, ZF = 0, DZF = 0
A = 111, B = 011, R = 0000, SF = 0, ZF = 1, DZF = 0
A = 110, B = 111, R = 1101, SF = 1, ZF = 0, DZF = 0
A = 110, B = 110, R = 1100, SF = 1, ZF = 0, DZF = 0
A = 110, B = 101, R = 1011, SF = 1, ZF = 0, DZF = 0
A = 110, B = 000, R = 1010, SF = 1, ZF = 0, DZF = 0
A = 110, B = 001, R = 1001, SF = 1, ZF = 0, DZF = 0
A = 110, B = 010, R = 0000, SF = 0, ZF = 1, DZF = 0
A = 110, B = 011, R = 0001, SF = 0, ZF = 0, DZF = 0
A = 101, B = 111, R = 1100, SF = 1, ZF = 0, DZF = 0
A = 101, B = 110, R = 1011, SF = 1, ZF = 0, DZF = 0
A = 101, B = 101, R = 1010, SF = 1, ZF = 0, DZF = 0
A = 101, B = 000, R = 1001, SF = 1, ZF = 0, DZF = 0
A = 101, B = 001, R = 0000, SF = 0, ZF = 1, DZF = 0
A = 101, B = 010, R = 0001, SF = 0, ZF = 0, DZF = 0
A = 101, B = 011, R = 0010, SF = 0, ZF = 0, DZF = 0
A = 000, B = 111, R = 1011, SF = 1, ZF = 0, DZF = 0
A = 000, B = 110, R = 1010, SF = 1, ZF = 0, DZF = 0
A = 000, B = 101, R = 1001, SF = 1, ZF = 0, DZF = 0
A = 000, B = 000, R = 0000, SF = 0, ZF = 1, DZF = 0
A = 000, B = 001, R = 0001, SF = 0, ZF = 0, DZF = 0
A = 000, B = 010, R = 0010, SF = 0, ZF = 0, DZF = 0
A = 000, B = 011, R = 0011, SF = 0, ZF = 0, DZF = 0
A = 001, B = 111, R = 1010, SF = 1, ZF = 0, DZF = 0
A = 001, B = 110, R = 1001, SF = 1, ZF = 0, DZF = 0
A = 001, B = 101, R = 0000, SF = 0, ZF = 1, DZF = 0
A = 001, B = 000, R = 0001, SF = 0, ZF = 0, DZF = 0
A = 001, B = 001, R = 0010, SF = 0, ZF = 0, DZF = 0
A = 001, B = 010, R = 0011, SF = 0, ZF = 0, DZF = 0
A = 001, B = 011, R = 0100, SF = 0, ZF = 0, DZF = 0
A = 010, B = 111, R = 1001, SF = 1, ZF = 0, DZF = 0
A = 010, B = 110, R = 0000, SF = 0, ZF = 1, DZF = 0
A = 010, B = 101, R = 0001, SF = 0, ZF = 0, DZF = 0
A = 010, B = 000, R = 0010, SF = 0, ZF = 0, DZF = 0
A = 010, B = 001, R = 0011, SF = 0, ZF = 0, DZF = 0
A = 010, B = 010, R = 0100, SF = 0, ZF = 0, DZF = 0
A = 010, B = 011, R = 0101, SF = 0, ZF = 0, DZF = 0
A = 011, B = 111, R = 0000, SF = 0, ZF = 1, DZF = 0
A = 011, B = 110, R = 0001, SF = 0, ZF = 0, DZF = 0
A = 011, B = 101, R = 0010, SF = 0, ZF = 0, DZF = 0
A = 011, B = 000, R = 0011, SF = 0, ZF = 0, DZF = 0
A = 011, B = 001, R = 0100, SF = 0, ZF = 0, DZF = 0
A = 011, B = 010, R = 0101, SF = 0, ZF = 0, DZF = 0
A = 011, B = 011, R = 0110, SF = 0, ZF = 0, DZF = 0
