A = 111, B = 111, R = 01001, SF = 0, ZF = 0, DZF = 0
A = 111, B = 110, R = 00110, SF = 0, ZF = 0, DZF = 0
A = 111, B = 101, R = 00011, SF = 0, ZF = 0, DZF = 0
A = 111, B = 000, R = 00000, SF = 0, ZF = 1, DZF = 0
A = 111, B = 001, R = 10011, SF = 1, ZF = 0, DZF = 0
A = 111, B = 010, R = 10110, SF = 1, ZF = 0, DZF = 0
A = 111, B = 011, R = 11001, SF = 1, ZF = 0, DZF = 0
A = 110, B = 111, R = 00110, SF = 0, ZF = 0, DZF = 0
A = 110, B = 110, R = 00100, SF = 0, ZF = 0, DZF = 0
A = 110, B = 101, R = 00010, SF = 0, ZF = 0, DZF = 0
A = 110, B = 000, R = 00000, SF = 0, ZF = 1, DZF = 0
A = 110, B = 001, R = 10010, SF = 1, ZF = 0, DZF = 0
A = 110, B = 010, R = 10100, SF = 1, ZF = 0, DZF = 0
A = 110, B = 011, R = 10110, SF = 1, ZF = 0, DZF = 0
A = 101, B = 111, R = 00011, SF = 0, ZF = 0, DZF = 0
A = 101, B = 110, R = 00010, SF = 0, ZF = 0, DZF = 0
A = 101, B = 101, R = 00001, SF = 0, ZF = 0, DZF = 0
A = 101, B = 000, R = 00000, SF = 0, ZF = 1, DZF = 0
A = 101, B = 001, R = 10001, SF = 1, ZF = 0, DZF = 0
A = 101, B = 010, R = 10010, SF = 1, ZF = 0, DZF = 0
A = 101, B = 011, R = 10011, SF = 1, ZF = 0, DZF = 0
A = 000, B = 111, R = 00000, SF = 0, ZF = 1, DZF = 0
A = 000, B = 110, R = 00000, SF = 0, ZF = 1, DZF = 0
A = 000, B = 101, R = 00000, SF = 0, ZF = 1, DZF = 0
A = 000, B = 000, R = 00000, SF = 0, ZF = 1, DZF = 0
A = 000, B = 001, R = 00000, SF = 0, ZF = 1, DZF = 0
A = 000, B = 010, R = 00000, SF = 0, ZF = 1, DZF = 0
A = 000, B = 011, R = 00000, SF = 0, ZF = 1, DZF = 0
A = 001, B = 111, R = 10011, SF = 1, ZF = 0, DZF = 0
A = 001, B = 110, R = 10010, SF = 1, ZF = 0, DZF = 0
A = 001, B = 101, R = 10001, SF = 1, ZF = 0, DZF = 0
A = 001, B = 000, R = 00000, SF = 0, ZF = 1, DZF = 0
A = 001, B = 001, R = 00001, SF = 0, ZF = 0, DZF = 0
A = 001, B = 010, R = 00010, SF = 0, ZF = 0, DZF = 0
A = 001, B = 011, R = 00011, SF = 0, ZF = 0, DZF = 0
A = 010, B = 111, R = 10110, SF = 1, ZF = 0, DZF = 0
A = 010, B = 110, R = 10100, SF = 1, ZF = 0, DZF = 0
A = 010, B = 101, R = 10010, SF = 1, ZF = 0, DZF = 0
A = 010, B = 000, R = 00000, SF = 0, ZF = 1, DZF = 0
A = 010, B = 001, R = 00010, SF = 0, ZF = 0, DZF = 0
A = 010, B = 010, R = 00100, SF = 0, ZF = 0, DZF = 0
A = 010, B = 011, R = 00110, SF = 0, ZF = 0, DZF = 0
A = 011, B = 111, R = 11001, SF = 1, ZF = 0, DZF = 0
A = 011, B = 110, R = 10110, SF = 1, ZF = 0, DZF = 0
A = 011, B = 101, R = 10011, SF = 1, ZF = 0, DZF = 0
A = 011, B = 000, R = 00000, SF = 0, ZF = 1, DZF = 0
A = 011, B = 001, R = 00011, SF = 0, ZF = 0, DZF = 0
A = 011, B = 010, R = 00110, SF = 0, ZF = 0, DZF = 0
A = 011, B = 011, R = 01001, SF = 0, ZF = 0, DZF = 0
