A = 0 ,B= 0 ,R = 0,DZF = 1,SF = 0,ZF = 1
A = 0 ,B= 1 ,R = 0,DZF = 0,SF = 0,ZF = 1
A = 0 ,B= 10 ,R = 0,DZF = 0,SF = 0,ZF = 1
A = 0 ,B= 11 ,R = 0,DZF = 0,SF = 0,ZF = 1
A = 1 ,B= 1 ,R = 0,DZF = 0,SF = 0,ZF = 1
A = 1 ,B= 0 ,R = 0,DZF = 1,SF = 0,ZF = 1
A = 1 ,B= 11 ,R = 1,DZF = 0,SF = 0,ZF = 0
A = 1 ,B= 10 ,R = 1,DZF = 0,SF = 0,ZF = 0
A = 10 ,B= 1 ,R = 0,DZF = 0,SF = 0,ZF = 1
A = 10 ,B= 0 ,R = 0,DZF = 1,SF = 0,ZF = 1
A = 10 ,B= 1 ,R = 0,DZF = 0,SF = 0,ZF = 1
A = 10 ,B= 10 ,R = 0,DZF = 0,SF = 0,ZF = 1
A = 10 ,B= 11 ,R = 10,DZF = 0,SF = 0,ZF = 0
A = 11 ,B= 1 ,R = 0,DZF = 0,SF = 0,ZF = 1
A = 11 ,B= 0 ,R = 0,DZF = 1,SF = 0,ZF = 1
A = 11 ,B= 11 ,R = 0,DZF = 0,SF = 0,ZF = 1
A = 0 ,B= 100 ,R = 0,DZF = 1,SF = 0,ZF = 1
A = 0 ,B= 101 ,R = 0,DZF = 0,SF = 0,ZF = 1
A = 0 ,B= 110 ,R = 0,DZF = 0,SF = 0,ZF = 1
A = 0 ,B= 111 ,R = 0,DZF = 0,SF = 0,ZF = 1
A = 1 ,B= 101 ,R = 0,DZF = 0,SF = 0,ZF = 1
A = 1 ,B= 100 ,R = 0,DZF = 1,SF = 0,ZF = 1
A = 1 ,B= 111 ,R = 1,DZF = 0,SF = 0,ZF = 0
A = 1 ,B= 110 ,R = 1,DZF = 0,SF = 0,ZF = 0
A = 10 ,B= 101 ,R = 0,DZF = 0,SF = 0,ZF = 1
A = 10 ,B= 100 ,R = 0,DZF = 1,SF = 0,ZF = 1
A = 10 ,B= 101 ,R = 0,DZF = 0,SF = 0,ZF = 1
A = 10 ,B= 110 ,R = 0,DZF = 0,SF = 0,ZF = 1
A = 10 ,B= 111 ,R = 10,DZF = 0,SF = 0,ZF = 0
A = 11 ,B= 101 ,R = 0,DZF = 0,SF = 0,ZF = 1
A = 11 ,B= 100 ,R = 0,DZF = 1,SF = 0,ZF = 1
A = 11 ,B= 111 ,R = 0,DZF = 0,SF = 0,ZF = 1
A = 100 ,B= 0 ,R = 10000,DZF = 1,SF = 1,ZF = 1
A = 100 ,B= 1 ,R = 10000,DZF = 0,SF = 1,ZF = 1
A = 100 ,B= 10 ,R = 10000,DZF = 0,SF = 1,ZF = 1
A = 100 ,B= 11 ,R = 10000,DZF = 0,SF = 1,ZF = 1
A = 101 ,B= 1 ,R = 10000,DZF = 0,SF = 1,ZF = 1
A = 101 ,B= 0 ,R = 10000,DZF = 1,SF = 1,ZF = 1
A = 101 ,B= 11 ,R = 10001,DZF = 0,SF = 1,ZF = 0
A = 101 ,B= 10 ,R = 10001,DZF = 0,SF = 1,ZF = 0
A = 110 ,B= 1 ,R = 10000,DZF = 0,SF = 1,ZF = 1
A = 110 ,B= 0 ,R = 10000,DZF = 1,SF = 1,ZF = 1
A = 110 ,B= 1 ,R = 10000,DZF = 0,SF = 1,ZF = 1
A = 110 ,B= 10 ,R = 10000,DZF = 0,SF = 1,ZF = 1
A = 110 ,B= 11 ,R = 10010,DZF = 0,SF = 1,ZF = 0
A = 111 ,B= 1 ,R = 10000,DZF = 0,SF = 1,ZF = 1
A = 111 ,B= 0 ,R = 10000,DZF = 1,SF = 1,ZF = 1
A = 111 ,B= 11 ,R = 10000,DZF = 0,SF = 1,ZF = 1
A = 100 ,B= 100 ,R = 10000,DZF = 1,SF = 1,ZF = 1
A = 100 ,B= 101 ,R = 10000,DZF = 0,SF = 1,ZF = 1
A = 100 ,B= 110 ,R = 10000,DZF = 0,SF = 1,ZF = 1
A = 100 ,B= 111 ,R = 10000,DZF = 0,SF = 1,ZF = 1
A = 101 ,B= 101 ,R = 10000,DZF = 0,SF = 1,ZF = 1
A = 101 ,B= 100 ,R = 10000,DZF = 1,SF = 1,ZF = 1
A = 101 ,B= 111 ,R = 10001,DZF = 0,SF = 1,ZF = 0
A = 101 ,B= 110 ,R = 10001,DZF = 0,SF = 1,ZF = 0
A = 110 ,B= 101 ,R = 10000,DZF = 0,SF = 1,ZF = 1
A = 110 ,B= 100 ,R = 10000,DZF = 1,SF = 1,ZF = 1
A = 110 ,B= 101 ,R = 10000,DZF = 0,SF = 1,ZF = 1
A = 110 ,B= 110 ,R = 10000,DZF = 0,SF = 1,ZF = 1
A = 110 ,B= 111 ,R = 10010,DZF = 0,SF = 1,ZF = 0
A = 111 ,B= 101 ,R = 10000,DZF = 0,SF = 1,ZF = 1
A = 111 ,B= 100 ,R = 10000,DZF = 1,SF = 1,ZF = 1
A = 111 ,B= 111 ,R = 10000,DZF = 0,SF = 1,ZF = 1
