A = -3, B = -3, R = 0, SF = 0, ZF = 1, DZF = 0
A = 111, B = 111, R = 0000, SF = 0, ZF = 1, DZF = 0
A = -3, B = -2, R = -1, SF = 1, ZF = 0, DZF = 0
A = 111, B = 110, R = 1001, SF = 1, ZF = 0, DZF = 0
A = -3, B = -1, R = -2, SF = 1, ZF = 0, DZF = 0
A = 111, B = 101, R = 1010, SF = 1, ZF = 0, DZF = 0
A = -3, B = 0, R = -3, SF = 1, ZF = 0, DZF = 0
A = 111, B = 000, R = 1011, SF = 1, ZF = 0, DZF = 0
A = -3, B = 1, R = -4, SF = 1, ZF = 0, DZF = 0
A = 111, B = 001, R = 1100, SF = 1, ZF = 0, DZF = 0
A = -3, B = 2, R = -5, SF = 1, ZF = 0, DZF = 0
A = 111, B = 010, R = 1101, SF = 1, ZF = 0, DZF = 0
A = -3, B = 3, R = -6, SF = 1, ZF = 0, DZF = 0
A = 111, B = 011, R = 1110, SF = 1, ZF = 0, DZF = 0
A = -2, B = -3, R = 1, SF = 0, ZF = 0, DZF = 0
A = 110, B = 111, R = 0001, SF = 0, ZF = 0, DZF = 0
A = -2, B = -2, R = 0, SF = 0, ZF = 1, DZF = 0
A = 110, B = 110, R = 0000, SF = 0, ZF = 1, DZF = 0
A = -2, B = -1, R = -1, SF = 1, ZF = 0, DZF = 0
A = 110, B = 101, R = 1001, SF = 1, ZF = 0, DZF = 0
A = -2, B = 0, R = -2, SF = 1, ZF = 0, DZF = 0
A = 110, B = 000, R = 1010, SF = 1, ZF = 0, DZF = 0
A = -2, B = 1, R = -3, SF = 1, ZF = 0, DZF = 0
A = 110, B = 001, R = 1011, SF = 1, ZF = 0, DZF = 0
A = -2, B = 2, R = -4, SF = 1, ZF = 0, DZF = 0
A = 110, B = 010, R = 1100, SF = 1, ZF = 0, DZF = 0
A = -2, B = 3, R = -5, SF = 1, ZF = 0, DZF = 0
A = 110, B = 011, R = 1101, SF = 1, ZF = 0, DZF = 0
A = -1, B = -3, R = 2, SF = 0, ZF = 0, DZF = 0
A = 101, B = 111, R = 0010, SF = 0, ZF = 0, DZF = 0
A = -1, B = -2, R = 1, SF = 0, ZF = 0, DZF = 0
A = 101, B = 110, R = 0001, SF = 0, ZF = 0, DZF = 0
A = -1, B = -1, R = 0, SF = 0, ZF = 1, DZF = 0
A = 101, B = 101, R = 0000, SF = 0, ZF = 1, DZF = 0
A = -1, B = 0, R = -1, SF = 1, ZF = 0, DZF = 0
A = 101, B = 000, R = 1001, SF = 1, ZF = 0, DZF = 0
A = -1, B = 1, R = -2, SF = 1, ZF = 0, DZF = 0
A = 101, B = 001, R = 1010, SF = 1, ZF = 0, DZF = 0
A = -1, B = 2, R = -3, SF = 1, ZF = 0, DZF = 0
A = 101, B = 010, R = 1011, SF = 1, ZF = 0, DZF = 0
A = -1, B = 3, R = -4, SF = 1, ZF = 0, DZF = 0
A = 101, B = 011, R = 1100, SF = 1, ZF = 0, DZF = 0
A = 0, B = -3, R = 3, SF = 0, ZF = 0, DZF = 0
A = 000, B = 111, R = 0011, SF = 0, ZF = 0, DZF = 0
A = 0, B = -2, R = 2, SF = 0, ZF = 0, DZF = 0
A = 000, B = 110, R = 0010, SF = 0, ZF = 0, DZF = 0
A = 0, B = -1, R = 1, SF = 0, ZF = 0, DZF = 0
A = 000, B = 101, R = 0001, SF = 0, ZF = 0, DZF = 0
A = 0, B = 0, R = 0, SF = 0, ZF = 1, DZF = 0
A = 000, B = 000, R = 0000, SF = 0, ZF = 1, DZF = 0
A = 0, B = 1, R = -1, SF = 1, ZF = 0, DZF = 0
A = 000, B = 001, R = 1001, SF = 1, ZF = 0, DZF = 0
A = 0, B = 2, R = -2, SF = 1, ZF = 0, DZF = 0
A = 000, B = 010, R = 1010, SF = 1, ZF = 0, DZF = 0
A = 0, B = 3, R = -3, SF = 1, ZF = 0, DZF = 0
A = 000, B = 011, R = 1011, SF = 1, ZF = 0, DZF = 0
A = 1, B = -3, R = 4, SF = 0, ZF = 0, DZF = 0
A = 001, B = 111, R = 0100, SF = 0, ZF = 0, DZF = 0
A = 1, B = -2, R = 3, SF = 0, ZF = 0, DZF = 0
A = 001, B = 110, R = 0011, SF = 0, ZF = 0, DZF = 0
A = 1, B = -1, R = 2, SF = 0, ZF = 0, DZF = 0
A = 001, B = 101, R = 0010, SF = 0, ZF = 0, DZF = 0
A = 1, B = 0, R = 1, SF = 0, ZF = 0, DZF = 0
A = 001, B = 000, R = 0001, SF = 0, ZF = 0, DZF = 0
A = 1, B = 1, R = 0, SF = 0, ZF = 1, DZF = 0
A = 001, B = 001, R = 0000, SF = 0, ZF = 1, DZF = 0
A = 1, B = 2, R = -1, SF = 1, ZF = 0, DZF = 0
A = 001, B = 010, R = 1001, SF = 1, ZF = 0, DZF = 0
A = 1, B = 3, R = -2, SF = 1, ZF = 0, DZF = 0
A = 001, B = 011, R = 1010, SF = 1, ZF = 0, DZF = 0
A = 2, B = -3, R = 5, SF = 0, ZF = 0, DZF = 0
A = 010, B = 111, R = 0101, SF = 0, ZF = 0, DZF = 0
A = 2, B = -2, R = 4, SF = 0, ZF = 0, DZF = 0
A = 010, B = 110, R = 0100, SF = 0, ZF = 0, DZF = 0
A = 2, B = -1, R = 3, SF = 0, ZF = 0, DZF = 0
A = 010, B = 101, R = 0011, SF = 0, ZF = 0, DZF = 0
A = 2, B = 0, R = 2, SF = 0, ZF = 0, DZF = 0
A = 010, B = 000, R = 0010, SF = 0, ZF = 0, DZF = 0
A = 2, B = 1, R = 1, SF = 0, ZF = 0, DZF = 0
A = 010, B = 001, R = 0001, SF = 0, ZF = 0, DZF = 0
A = 2, B = 2, R = 0, SF = 0, ZF = 1, DZF = 0
A = 010, B = 010, R = 0000, SF = 0, ZF = 1, DZF = 0
A = 2, B = 3, R = -1, SF = 1, ZF = 0, DZF = 0
A = 010, B = 011, R = 1001, SF = 1, ZF = 0, DZF = 0
A = 3, B = -3, R = 6, SF = 0, ZF = 0, DZF = 0
A = 011, B = 111, R = 0110, SF = 0, ZF = 0, DZF = 0
A = 3, B = -2, R = 5, SF = 0, ZF = 0, DZF = 0
A = 011, B = 110, R = 0101, SF = 0, ZF = 0, DZF = 0
A = 3, B = -1, R = 4, SF = 0, ZF = 0, DZF = 0
A = 011, B = 101, R = 0100, SF = 0, ZF = 0, DZF = 0
A = 3, B = 0, R = 3, SF = 0, ZF = 0, DZF = 0
A = 011, B = 000, R = 0011, SF = 0, ZF = 0, DZF = 0
A = 3, B = 1, R = 2, SF = 0, ZF = 0, DZF = 0
A = 011, B = 001, R = 0010, SF = 0, ZF = 0, DZF = 0
A = 3, B = 2, R = 1, SF = 0, ZF = 0, DZF = 0
A = 011, B = 010, R = 0001, SF = 0, ZF = 0, DZF = 0
A = 3, B = 3, R = 0, SF = 0, ZF = 1, DZF = 0
A = 011, B = 011, R = 0000, SF = 0, ZF = 1, DZF = 0
